,Anime Title,Release Year,Genre,Duration,Rating,Description,No. of Votes
0,One Piece,1999–OA,"Animation,Action,Adventure",24,8.9,"Follows the adventures of Monkey D. Luffy and his pirate crew in order to find the greatest treasure ever left by the legendary Pirate, Gold Roger. The famous mystery treasure named ""One Piece"".","195,880"
1,Jujutsu Kaisen,2020–OA,"Animation,Action,Adventure",24,8.5,A boy swallows a cursed talisman - the finger of a demon - and becomes cursed himself. He enters a shaman's school to be able to locate the demon's other body parts and thus exorcise himself.,"85,982"
2,Attack on Titan,2013–2023,"Animation,Action,Adventure",24,9.0,"After his hometown is destroyed and his mother is killed, young Eren Jaeger vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction.","442,112"
3,Bleach: Thousand-Year Blood War,2022–OA,"Animation,Action,Adventure",24,9.0,"The peace is suddenly broken when warning sirens blare through the Soul Society. Residents are disappearing without a trace and nobody knows who's behind it. Meanwhile, a darkness is approaching Ichigo and his friends in Karakura Town.","30,485"
4,Demon Slayer: Kimetsu no Yaiba,2019–OA,"Animation,Action,Adventure",24,8.6,"A family is attacked by demons and only two members survive - Tanjiro and his sister Nezuko, who is turning into a demon slowly. Tanjiro sets out to become a demon slayer to avenge his family and cure his sister.","133,448"
5,Mushoku Tensei: Jobless Reincarnation,2021–OA,"Animation,Action,Adventure",24,8.4,"A 34-year-old Japanese NEET is run over by a speeding truck and dies. Before he knows it, he is reborn as Rudeus Greyrat, and begins a new life full of adventure.","16,743"
6,Naruto: Shippuden,2007–2017,"Animation,Action,Adventure",24,8.7,"Naruto Uzumaki, is a loud, hyperactive, adolescent ninja who constantly searches for approval and recognition, as well as to become Hokage, who is acknowledged as the leader and strongest of all ninja in the village.","147,254"
7,Cyberpunk: Edgerunners,2022,"Animation,Action,Adventure",24,8.3,"A Street Kid trying to survive in a technology and body modification-obsessed city of the future. Having everything to lose, he chooses to stay alive by becoming an Edgerunner, a Mercenary outlaw also known as a Cyberpunk.","65,529"
8,Bleach,2004–2023,"Animation,Action,Adventure",24,8.2,"High school student Ichigo Kurosaki, who has the ability to see ghosts, gains soul reaper powers from Rukia Kuchiki and sets out to save the world from ""Hollows"".","65,287"
9,Naruto,2002–2007,"Animation,Action,Adventure",24,8.4,"Naruto Uzumaki, a mischievous adolescent ninja, struggles as he searches for recognition and dreams of becoming the Hokage, the village's leader and strongest ninja.","118,711"
10,Kill Bill: Vol. 1,2003,"Action,Crime,Thriller",111,8.2,"After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.","1,160,486"
11,Vinland Saga,2019–2023,"Animation,Action,Adventure",24,8.8,Thorfinn pursues a journey with his father's killer in order to take revenge and end his life in a duel as an honorable warrior and pay his father an homage.,"60,018"
12,My Hero Academia,2016–OA,"Animation,Action,Adventure",24,8.3,A superhero-admiring boy without any powers enrolls in a prestigious hero academy and learns what it really means to be a hero.,"73,293"
13,Hunter x Hunter,2011–2014,"Animation,Action,Adventure",24,9.0,"Gon Freecss aspires to become a Hunter, an exceptional being capable of greatness. With his friends and his potential, he seeks out his father, who left him when he was younger.","121,124"
